term,n_T,n_ST,p_T,p_ST,ll,category
queri paramet,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mark nsapi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bite crossey,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos lea,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos larger,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos insert,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos fit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos field,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos error,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qos cleaner,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
connect nr,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mark slight,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qfi nwe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qfi integ,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bis zip,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
consensus xe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qfi describ,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
question nidd,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rcs nwith,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rcs find,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mandatori case,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rau underway,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
big effort,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rat-specif cell,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mandatori ulitimestampvalu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rasilainen etsi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rang ts,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
consid content,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bigger problem,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
manfr al,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rang reserv,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
manfr upload,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rang observ,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rang csp,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rang associ,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rais support,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
consid busi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rais hand,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
rainer landgraf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
radio interfac,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
manner mean,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bind reassign,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
consequ correl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
question nthere,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
map id,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qfi extens,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
qfi bit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
ls base,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
prudent nrefus,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
proxy-relay mail,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
proxi reflect,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
confus potenti,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
maurizio pierr,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
maurizio scene,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
proxi cc-tf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provideposinfo ts,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
providelocinfo ts,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
confus luke,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mckibben-p email,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provid request,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
confus don,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provid nthus,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provid nkind,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mdf emit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provid multipl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mdf eoiwsa,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provid ice,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
booolean jg,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mdf gtp-u,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
provid correct,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
border inform,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mdf involv,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mdf lipf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
confront problem,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
conform implement,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
proverb- nfrom,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
proxy-relay nc,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
maurizio includ,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
